,,Red,,Green,,White,,Brown,,Yellow,,Consults,,,,,,Consult Reason,,,,,,,
Saturday,8/18/2018,13,0,16,8,6,1,13,1,14,4,2,1,2,,0,,Plastics,Hypertensive urgency,,,,,62,14
Sunday,8/19/2018,11,0,16,4,13,9,16,3,16,3,2,1,2,,0,,Psychiatry,elevated LFTS,,,,,72,19
Monday,8/20/2018,16,7,15,0,15,4,11,0,13,0,2,0,2,,,,,,,,,,70,11
Tuesday,8/21/2018,16,3,11,0,14,4,16,5,15,3,2,1,2,,,,,,,,,,72,15
Wednesday,8/22/2018,16,4,10,1,13,1,16,1,16,5,5,3,2,,,,,,,,,,71,12
Thursday,8/23/2018,10,0,14,5,14,2,15,3,14,1,4,2,3,,,,,,,,,,67,11
Friday,8/24/2018,9,4,15,4,16,7,11,0,15,4,2,1,4,,,,,,,,,,66,19
Saturday,8/25/2018,13,7,16,6,16,3,10,5,10,2,2,1,3,,1,trauma,trauma,"htn, syncope",,,,,65,23
Sunday,8/26/2018,14,4,13,0,15,3,16,7,12,3,0,0,4,,0,,,,,,,,70,17
Monday,8/27/2018,12,3,10,1,12,0,15,4,16,5,4,0,,,0,,,,,,,,65,13
Tuesday,8/28/2018,10,0,15,4,12,0,16,4,15,4,4,1,,,0,Neurosurg,,,,,,,68,12
Wednesday,8/29/2018,6,0,15,1,15,3,11,0,12,0,6,2,,,0,Psych,,,,,,,59,4
Thursday,8/30/2018,16,10,16,1,13,4,11,4,8,0,6,2,,,,,,,,,,,64,19
Friday,8/31/2018,15,4,14,0,13,0,16,7,8,1,7,3,,,1,,,,,,,,66,12
Saturday,9/1/2018,16,3,15,2,11,2,16,4,13,7,8,3,,,1,,,,,,,,71,18
Sunday,9/2/2018,11,0,16,5,19,8,16,4,14,4,5,0,,,,,,,,,,,76,21
Monday,9/3/2018,11,2,16,1,16,0,15,0,15,3,2,1,2,,,,Trauma,"bradycardia, HTN",,,,,73,6
Tuesday,9/4/2018,18,7,17,1,17,4,13,0,13,0,4,1,0,,,,Psych,medication overdose,,,,,78,12
Wednesday,9/5/2018,15,3,14,0,17,1,14,5,13,2,3,2,3,,,,ENT,preop,,,,,73,11
Thursday,9/6/2018,15,2,12,0,12,0,17,3,16,6,3,0,2,,,,,,,,,,72,11
Friday,9/7/2018,11,0,16,6,13,6,13,0,16,4,,3,,,1,CTS,CTS- IE tx to medicine,transplant- urinary retention,Ortho- preop,,,,69,16
Saturday,9/8/2018,11,2,16,6,16,3,8,0,16,3,,,,,,,,,,,,,67,14
Sunday,9/9/2018,16,,14,6,18,3,7,4,10,0,1,0,5,,0,,,,,,,,65,13
Monday,9/10/2018,17,4,,,16,6,14,8,13,4,1,0,3,,1,Trauma,,,,,,,60,22
Tuesday,9/11/2018,15,0,,,14,0,14,1,12,4,4,4,1,,0,ortho,psych,ent,,,,,55,5
Wednesday,9/12/2018,12,0,12,5,13,2,15,5,14,5,5,1,0,,,,,,,,,,66,17
Thursday,9/13/2018,10,0,12,4,15,6,12,2,9,1,4,2,1,,1,ACS,ED,,,,,,58,13
Friday,9/14/2018,16,9,10,0,16,4,11,0,5,0,3,1,1,,0,neurosurg,,,,,,,58,13
Saturday,9/15/2018,16,4,10,2,11,1,16,10,4,1,4,2,1,,0,neurosurg,ortho,,,,,,57,18
Sunday,9/16/2018,15,3,11,2,9,0,18,2,12,9,4,0,1,,0,,,,,,,,65,16
Monday,9/17/2018,13,0,16,5,10,1,17,0,14,4,4,2,2,,,,NSGY- pre op,ortho-HTN,,,,,70,10
Tuesday,9/18/2018,10,0,14,4,13,6,15,0,9,1,8,6,4,,,,,,,,,,61,11
Wednesday,9/19/2018,16,9,15,1,14,4,13,2,5,0,3,1,3,,,,ortho- HTN,,,,,,63,16
Thursday,9/20/2018,16,5,12,0,15,4,14,8,4,1,2,1,2,,,ortho spine-transfer to medicine,,,,,,,61,18
Friday,9/21/2018,12,3,12,0,8,0,12,4,12,9,2,2,1,,ACS-cholecystitis,,ortho onc- DM2,,,,,,56,16
Saturday,9/22/2018,11,0,16,7,8,1,10,2,15,4,0,0,0,,,,,,,,,,60,14
Sunday,9/23/2018,12,2,16,2,15,7,12,3,15,2,0,0,0,,,,,,,,,,70,16
Monday,9/24/2018,16,8,15,0,,,10,0,14,0,2,2,0,,,,psych,spider bite,silver surgery,tachycardia/SOB/HTN,,,55,8
Tuesday,9/25/2018,15,2,13,0,,,16,6,8,0,4,2,0,,,,pysh,BP,ED,tachycardia ,,,52,8
Wednesday,9/26/2018,10,0,9,0,,,16,2,16,8,5,3,1,,,,psych,BP,ACS,med management,ortho,HTN,51,10
Thursday,9/27/2018,9,0,16,4,,,12,1,13,4,7,3,1,,,,psych,DM,neuro,AKI,vascular,dm/htn,50,9
Friday,9/28/2018,9,2,16,4,,,8,0,15,5,7,3,2,,,,Ortho spine,cellulitis,ortho onc,med management,ortho,BP,48,11
Saturday,9/29/2018,15,7,,,,,10,3,,,5,0,0,,,,,,,,,,25,10
Sunday,9/30/2018,16,4,,,,,14,7,,,2,0,2,,,,,,,,,,30,11
Monday,10/1/2018,14,0,11,1,,,16,4,16,5,7,3,0,,,,,,,,,,57,10
Tuesday,10/2/2018,10,0,14,6,,,16,1,16,3,4,2,1,,,,,,,,,,56,10
Wednesday,10/3/2018,6,1,16,4,,,11,0,12,0,4,3,1,,,,,,,,,,45,5
Thursday,10/4/2018,10,8,13,3,,,10,0,11,0,,,,,,,,,,,,,44,11
Friday,10/5/2018,11,4,12,0,,,12,5,,,,,,,,,,,,,,,35,9
Saturday,10/6/2018,12,3,11,0,,,12,4,,,,,,,,,,,,,,,35,7
Sunday,10/7/2018,,,19,9,,,15,5,,,,,,,,,,,,,,,34,14
Monday,10/8/2018,11,2,17,1,15,9,14,0,,,1,0,1,,,,,,,,,,57,12
Tuesday,10/9/2018,15,5,15,3,16,3,10,0,,,2,1,1,,0,0,Psych,Edema,Vascular,Diabetes,,,56,11
Wednesday,10/10/2018,15,4,,,16,2,16,7,,,2,2,1,,1,ACS,ACS,Transfer/bowel obstruction,Psych,Peripheral edema,,,47,13
Thursday,10/11/2018,13,0,,,14,0,16,4,,,2,2,2,,0,0,Vascular ,Hypoglycemia,NSGY,Neutropenia,,,43,4
Friday,10/12/2018,9,0,16,5,12,2,16,0,,,1,0,1,,0,0,NSGY,Neutropenia,,,,,53,7
Saturday,10/13/2018,7,3,16,4,17,5,12,0,,,1,1,1,,1,ortho trauma,Ortho,hypotensiom,,,,,52,12
Sunday,10/14/2018,15,8,17,,17,2,14,3,,,1,1,1,,1,Nsgy,Nsgy,Cellulitis,,,,,63,13
Monday,10/15/2018,13,4,16,0,15,1,17,4,,,2,2,1,,0,,NSGY,Preop,NSGY,Preop,,,61,9
Tuesday,10/16/2018,11,3,12,1,13,0,16,4,,,2,2,0,,1,Neurology,Ortho spine,Preop,Neurology,transfer,,,52,8
Wednesday,10/17/2018,6,0,18,7,11,0,14,4,13,3,1,1,0,,0,,Ortho,Preop,,,,,62,14
Thursday,10/18/2018,7,2,16,3,16,9,11,0,11,0,4,3,1,,1,Pscy,Psych,transfer for hypotension,NSGY,DM,Psych,"tachycardia, HTN",61,14
Friday,10/19/2018,14,8,13,3,16,1,9,2,,,2,1,2,,0,,Ortho spine,comorbidities,,,,,52,14
Saturday,10/20/2018,16,4,10,0,13,2,11,7,,,1,0,3,,,,,,,,,,50,13
Sunday,10/21/2018,13,0,10,2,11,0,11,4,,,0,0,2,,0,,,,,,,,45,6
Monday,10/22/2018,10,0,16,8,,,10,1,12,0,,,,,,,,,,,,,48,9
Tuesday,10/23/2018,12,0,15,0,,,8,0,11,1,0,0,0,,0,,,,,,,,46,1
Wednesday,10/24/2018,16,4,12,0,,,5,0,9,0,3,2,0,,0,,GI,pre-op,ENT,co-management,,,42,4
Thursday,10/25/2018,16,2,10,0,,,12,7,9,2,3,1,0,,0,,psych,le swelling,,,,,47,11
Friday,10/26/2018,14,4,10,1,,,14,3,15,7,1,0,2,,0,,,,,,,,53,15
Saturday,10/27/2018,12,0,14,6,,,12,4,14,4,1,1,3,,0,,nsgy,dm2,,,,,52,14
Sunday,10/28/2018,11,3,16,3,,,8,0,15,3,2,1,3,,0,,psych,elevated lfts,,,,,50,9
Monday,10/29/2018,15,4,16,1,,,4,0,16,1,3,0,2,,,,,,,,,,51,6
Tuesday,10/30/2018,14,3,15,0,,,8,5,13,0,4,2,1,,,,NSGY- AKI,psych- HTN,,,,,50,8
Wednesday,10/31/2018,13,0,13,3,,,8,4,18,6,4,2,1,,,,ortho- pre op,ortho- cellulitis,,,,,52,13
Thursday,11/1/2018,11,1,15,4,,,8,2,16,2,4,1,1,,,,"ortho- DM, HTN",,,,,,50,9
Friday,11/2/2018,13,,16,4,,,5,0,15,4,3,1,2,,,,cardiology-LLQ pain,,,,,,49,8
Saturday,11/3/2018,16,8,10,0,,,5,0,12,0,2,1,3,,1,ortho,psych- hyperglycemia,,,,,,43,8
Sunday,11/4/2018,16,3,9,0,,,11,7,11,0,0,0,2,,,,,,,,,,47,10
Monday,11/5/2018,15,0,9,,,,14,3,16,6,0,0,2,,,,,,,,,,54,9
Tuesday,11/6/2018,12,4,16,8,,,16,3,16,1,1,1,1,,,,,,,,,,60,16
Wednesday,11/7/2018,12,0,15,3,,,10,0,11,0,3,3,1,,,,,,,,,,48,3
Thursday,11/8/2018,16,9,16,3,,,11,3,7,0,2,1,1,,,,,,,,,,50,15
Friday,11/9/2018,15,4,14,0,,,15,7,9,2,2,1,1,,,,,,,,,,53,13
Saturday,11/10/2018,10,2,11,4,,,12,4,14,6,2,1,1,,,,,,,,,,47,16
Sunday,11/11/2018,10,0,16,6,,,13,3,14,4,2,1,2,,,,,,,,,,53,13
Monday,11/12/2018,10,0,13,0,,,11,0,11,0,6,4,2,,,,psychiatry- HTN,NSGY- ileus,urology- hyperglycemia,cardiology-opiate w/d,,,45,0
Tuesday,11/13/2018,16,8,10,0,,,9,0,8,0,4,1,0,,,,ortho spine- hypotension,,,,,,43,8
Wednesday,11/14/2018,16,4,7,0,,,14,7,8,0,4,0,1,,,,,,,,,,45,11
Thursday,11/15/2018,,,12,4,,,15,4,15,8,2,0,2,,1,neurology,,,,,,,42,16
Friday,11/16/2018,,,14,6,,,16,5,14,2,3,2,1,,,,ortho spine- HTN,ACS- chest pain,,,,,44,13
Saturday,11/17/2018,8,1,15,4,,,11,0,10,0,5,3,2,,1,neuro,ortho- med rec,neuro-tx to med,ortho spine- hypoNa,,,,44,5
Sunday,11/18/2018,16,9,10,0,,,10,3,6,0,3,1,2,,0,,psych-htn,,,,,,42,12
Monday,11/19/2018,16,3,9,0,12,0,15,5,7,1,6,2,1,,0,psych,psych,,,,,,59,9
Tuesday,11/20/2018,16,4,11,6,10,0,15,4,14,7,3,1,2,,1,ENT,,,,,,,66,21
Wednesday,11/21/2018,13,0,13,4,10,2,15,4,13,4,4,3,3,,1,blue surgery,trauma,,,,,,64,14
Thursday,11/22/2018,12,1,16,5,16,9,12,0,12,1,2,0,,,0,,,,,,,,68,16
Friday,11/23/2018,17,1,16,3,16,0,14,3,9,0,7,5,2,,0,ent,ortho,neurosurg,,,,,72,7
Saturday,11/24/2018,17,4,11,0,16,6,17,6,14,5,4,2,3,,1,plastic surg,psych,,,,,,75,21
Sunday,11/25/2018,16,3,13,2,13,0,16,4,16,6,,,,,,,,,,,,,74,15
Monday,11/26/2018,15,0,20,9,15,2,18,2,17,3,1,1,1,,,,NSGY,"HTN, Coumadin Management",,,,,85,16
Tuesday,11/27/2018,14,0,16,3,17,3,15,0,17,2,1,0,1,,,,,,,,,,79,8
Wednesday,11/28/2018,17,4,14,1,12,1,12,1,13,0,3,2,1,,1,psych,psych,SOB,psych,med mgmt of TCA overdose,,,68,7
Thursday,11/29/2018,17,4,14,0,13,5,15,5,11,0,5,3,2,,,,psych,AMS,psych,hypertension,,,70,14
Friday,11/30/2018,17,4,12,3,9,0,16,3,16,8,3,2,3,,1,CTS,CTS,transfer/IE and bacteremia,ortho,presyncope,,,70,18
Saturday,12/1/2018,12,0,14,5,8,2,12,0,15,2,2,0,2,,,,,,,,,,61,9
Sunday,12/2/2018,12,0,16,4,14,7,12,0,12,0,1,0,2,,,,,,,,,,66,11
Monday,12/3/2018,18,8,16,1,12,2,12,0,11,0,,,,,,,,,,,,,69,11
Tuesday,12/4/2018,17,4,12,0,14,5,16,6,12,2,7,5,0,,,,,,,,,,71,17
Wednesday,12/5/2018,15,0,11,0,13,0,12,3,15,6,7,3,2,,,,,,,,,,66,9
Thursday,12/6/2018,12,0,12,6,12,1,10,0,13,4,4,0,0,,,,,,,,,,59,11
Friday,12/7/2018,10,1,12,4,15,4,9,0,11,1,5,2,0,,,,,,,,,,57,10
Saturday,12/8/2018,16,8,12,4,16,4,11,3,7,0,5,1,0,,,,,,,,,,62,19
Sunday,12/9/2018,14,0,8,0,16,1,16,7,7,1,2,0,2,,,,,,,,,,61,9
Monday,12/10/2018,13,0,10,2,15,3,16,2,13,6,4,2,0,,,,NSGY- pre op,NSGY-thrombocytopenia,,,,,67,13
Tuesday,12/11/2018,12,0,12,5,14,1,15,4,12,5,5,2,0,,1,transplant,ENT- DM,transplant- tx to medicine,,,,,65,15
Wednesday,12/12/2018,9,2,12,4,16,3,11,1,14,4,2,2,4,,,,ortho- preop,,,,,,62,14
Thursday,12/13/2018,12,5,16,6,16,1,13,3,9,0,,2,,,,,,,,,,,66,15
Friday,12/14/2018,14,5,11,0,16,4,16,5,13,2,7,6,3,,1,ortho,ortho x 4,"tx to med, DM/HTN, pre op x 2",ENT,medical mgmt,psych,coumadin mgmt,70,16
Saturday,12/15/2018,12,0,12,4,12,1,15,4,16,5,4,0,3,,,,,,,,,,67,14
Sunday,12/16/2018,8,0,14,5,12,2,16,4,16,2,1,0,4,,,,,,,,,,66,13
Monday,12/17/2018,9,3,12,5,,,14,0,14,1,4,2,2,,0,,nsgy,gout,colorectal,med mgmt,,,49,9
Tuesday,12/18/2018,13,6,14,4,,,11,1,14,0,3,0,2,,0,,,,,,,,52,11
Wednesday,12/19/2018,13,1,9,0,,,16,6,11,0,3,0,1,,0,,,,,,,,49,7
Thursday,12/20/2018,12,0,8,1,,,14,4,16,8,4,2,1,,1,ortho,ENT,med mgmt,ortho,transfer,,,50,13
Friday,12/21/2018,6,0,13,8,,,13,1,16,2,5,3,1,,1,neuro,neuro,transfer/GIB,psych,tachycardia,psych,afib/Mech AV/anticoag,48,11
Saturday,12/22/2018,6,3,13,4,,,6,0,9,0,4,1,2,,,,ortho,"DM1, HTN, Hypothyroid",,,,,34,7
Sunday,12/23/2018,10,5,7,2,,,7,3,9,0,1,0,4,,,,,,,,,,33,10
Monday,12/24/2018,11,4,6,0,,,18,11,9,2,3,1,3,,,,psych,left arm pain,,,,,44,17
Tuesday,12/25/2018,10,0,4,0,,,12,0,14,5,3,2,4,,,,ortho,pre-op,psych,anemia,,,40,5
Wednesday,12/26/2018,8,0,13,9,,,9,1,13,1,0,0,6,,,,,,,,,,43,11
Thursday,12/27/2018,16,4,,,,,9,1,15,5,6,4,2,,,,ortho,DM,ortho,DM,Neuro,Prostate Ca,40,10
Friday,12/28/2018,16,3,12,4,16,1,11,3,12,0,6,3,3,,,,nsgy,preop,nsgy,,,,67,11
Saturday,12/29/2018,14,2,9,0,13,0,15,6,10,2,6,1,0,,,,nsgy,"preop, AKI",,,,,61,10
Sunday,12/30/2018,13,1,13,5,11,0,,,16,4,6,2,0,,,,ACS,medical management,nsgy,preop risk,,,53,10
Monday,12/31/2018,13,0,18,6,11,1,16,6,16,4,3,0,1,,,,,,,,,,74,17
Tuesday,1/1/2019,10,2,16,0,15,4,11,0,16,4,4,1,1,,,,trauma,BS management,,,,,68,10
Wednesday,1/2/2019,16,9,17,1,16,2,,,19,9,4,2,2,,,,nsgy,"preop, comanagement",nsgy,"preop, comanagement",,,68,21
Thursday,1/3/2019,13,5,12,0,16,4,,,15,2,6,2,1,,,,ENT,shortness of breath,psych,encephalopathy,,,56,11
Friday,1/4/2019,,,9,2,12,0,15,4,16,,6,2,2,,,,nsgy,preop risk,,,,,52,6
Saturday,1/5/2019,,,16,9,11,3,16,3,,,3,0,3,,,,,,,,,,43,15
Sunday,1/6/2019,,,16,1,16,6,11,0,,,7,2,1,,,,ortho onc,hyponatremia,ortho,htn,,,43,7
Monday,1/7/2019,,,17,3,17,3,11,2,,,7,1,1,,,,ACS,medical management,,,,,45,8
Tuesday,1/8/2019,,,13,0,15,4,16,6,,,6,2,2,,,,psych,recurrent syncope,ACS,elevated wbc,,,44,10
Wednesday,1/9/2019,,,14,2,14,0,16,2,16,,5,0,1,,,,,,,,,,60,4
Thursday,1/10/2019,9,0,17,8,12,2,16,2,17,4,8,4,1,,,,plastics,med management,psych,ECT preop,ortho spine,hyponatremia,71,16
Friday,1/11/2019,8,4,16,4,15,6,12,0,16,1,7,3,1,,0,,ortho,med management,ent,pneumonia f/u,gen surg,tx to medicine,67,15
Saturday,1/12/2019,17,4,18,4,17,5,12,2,12,0,3,0,3,,,,,,,,,,76,15
Sunday,1/13/2019,,,12,1,16,2,17,6,14,5,1,0,3,,,,,,,,,,59,14
Monday,1/14/2019,,,11,0,14,0,16,2,13,7,5,3,2,,,,,,,,,,54,9
Tuesday,1/15/2019,,,16,5,13,2,14,1,14,4,6,3,2,,,,,,,,,,57,12
Wednesday,1/16/2019,,,14,4,14,5,7,0,13,4,2,0,2,,,,,,,,,,48,13
Thursday,1/17/2019,,,13,3,14,4,13,7,9,0,5,2,2,0,,,,,,,,,49,14
Friday,1/18/2019,,,10,0,8,0,13,3,10,2,6,3,2,1,,,,,,,,,41,5
Saturday,1/19/2019,,,6,0,6,0,14,4,12,5,5,1,2,2,,,,,,,,,38,9
Sunday,1/20/2019,,,11,6,9,3,10,0,14,3,4,1,2,2,,,,,,,,,44,12
Monday,1/21/2019,6,2,15,4,14,5,10,0,12,0,2,0,2,1,,,,,,,,,57,11
Tuesday,1/22/2019,13,8,13,4,16,4,12,2,10,0,2,0,1,0,,,,,,,,,64,18
Wednesday,1/23/2019,12,4,11,0,15,2,16,7,14,3,2,0,1,1,,,,,,,,,68,16
Thursday,1/24/2019,8,0,9,1,11,1,16,2,10,0,5,4,1,1,,,ortho spine,hypoNa,ortho,"DM, preop",Ortho,pre op,54,4
Friday,1/25/2019,4,1,12,3,12,4,11,1,10,3,5,1,1,3,,,psych,rash,,,,,49,12
Saturday,1/26/2019,5,2,13,4,13,5,11,2,8,1,4,1,2,0,,,psych,hyperkalemia,,,,,50,14
Sunday,1/27/2019,10,6,13,1,15,4,13,5,8,1,1,0,2,0,,,,,,,,,59,17
Monday,1/28/2019,11,2,9,0,16,4,15,3,11,4,3,2,,0,,,"psych- frostbite, cellulitis",,NSGY- C diff,,,,62,13
Tuesday,1/29/2019,13,6,8,2,8,0,15,4,16,9,2,1,2,0,,,Urology,hyperglycemia,,,,,60,21
Wednesday,1/30/2019,10,0,15,2,16,8,15,3,14,3,3,2,1,1,,,psych- rhabdo,psych- diarrhea,,,,,70,16
Thursday,1/31/2019,9,0,16,4,16,4,13,0,10,0,2,1,1,0,,,NSGY- thrombocytopenia,,,,,,64,8
Friday,2/1/2019,15,8,16,3,16,4,18,6,7,0,5,3,1,1,1,neuro,NSGY- pre op,neuro- tx to medicine,ACS- DM,,,,72,21
Saturday,2/2/2019,17,3,12,0,16,4,15,1,12,6,3,1,2,0,1,stroke,"stroke-sepsis, respiratory failure",,,,,,72,14
Sunday,2/3/2019,17,2,12,0,15,0,15,5,14,4,4,2,2,1,1,neuro,ACS,tx to medicine,neuro,tx to medicine,,,73,11
Monday,2/4/2019,16,0,,,16,5,14,4,16,3,4,0,1,0,0,,,,,,,,62,12
Tuesday,2/5/2019,11,1,,,18,3,11,0,18,4,1,0,1,0,0,,,,,,,,58,8
Wednesday,2/6/2019,18,0,,,16,4,8,2,15,0,4,2,0,0,1,psych,ortho - transfer,,,,,,57,6
Thursday,2/7/2019,16,2,,,17,3,13,7,17,5,7,3,0,0,0,,ER,,psych,,stroke team,,63,17
Friday,2/8/2019,15,2,,,13,0,16,5,16,3,5,2,0,0,0,,,,,,,,60,10
Saturday,2/9/2019,10,0,,,11,2,13,4,15,4,4,2,1,0,,,,,,,,,49,10
Sunday,2/10/2019,10,2,,,16,5,11,",0",13,0,5,2,1,0,0,,,,,,,,50,7
Monday,2/11/2019,14,1,16,4,15,1,13,2,10,0,9,4,1,0,0,,,,,,,,68,8
Tuesday,2/12/2019,18,5,14,1,16,1,16,6,15,5,6,2,3,0,1,Ortho,,,,,,,79,18
Wednesday,2/13/2019,,,17,4,15,0,17,6,20,6,4,0,2,0,0,,,,,,,,69,16
Thursday,2/14/2019,,,16,4,15,6,16,3,15,1,2,2,2,0,1,vascular,Vascular ,Sma occlusion,,,,,62,14
Friday,2/15/2019,,,16,3,16,2,10,0,16,4,1,1,2,0,0,,NSGY- pre op ,,,,,,58,9
Saturday,2/16/2019,,,11,0,15,2,11,3,10,0,0,1,2,0,0,,,,,,,,47,5
Sunday,2/17/2019,,,11,0,11,1,12,0,11,1,2,2,2,0,0,,ortho ,Cardiac risk ,psych,n/v/abd pain,,,45,2
Monday,2/18/2019,,,15,4,,,14,4,16,7,2,0,2,2,0,,,,,,,,45,15
Tuesday,2/19/2019,,,16,4,,,11,1,16,3,4,2,1,2,,,Psych ,Le edema,Ortho,Pre op,,,43,8
